Transect Name,Transect Comments,Observation ID,Observation Subtype,Observation Timestamp,Species Code,Count,Species Common Name,Behavior,Direction,Distance,Degree,Age,Plumage,Sex,Linked with Observation ID,Observation Comment,Association,Flight Height,Events,Observer,Position,Beaufort ID,Visibility,Observer Conditions,GPS Latitude,GPS Longitude,GPS Timestamp,GPS Speed (mps),GPS Heading (degrees),GPS Accuracy (m),GPS Error Message,GPS Error Code
RB104 5/20 1,,555,START,2019-05-20T12:02:53+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,300-500m,2,40.06009167,-70.82976167,1.56E+12,3.446777778,179.5,5,,
RB104 5/20 1,,556,,2019-05-20T12:07:52+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,500m-1km,2,40.06009167,-70.82976167,1.56E+12,3.446777778,179.5,5,,
RB104 5/20 1,,557,,2019-05-20T12:12:52+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,500m-1km,2,40.06009167,-70.82976167,1.56E+12,3.446777778,179.5,5,,
RB104 5/20 1,,558,,2019-05-20T12:17:52+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,500m-1km,2,40.06009167,-70.82976167,1.56E+12,3.446777778,179.5,5,,
RB104 5/20 1,,559,,2019-05-20T12:22:52+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,500m-1km,2,40.06009167,-70.82976167,1.56E+12,3.446777778,179.5,5,,
RB104 5/20 1,,560,STOP,2019-05-20T12:24:30+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,500m-1km,2,40.01378167,-70.82894333,1.56E+12,3.755444444,174.9,5,,
RB104 5/20 1a,,561,,2019-05-20T20:12:42+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,3-5km,3,39.62624,-70.826875,1.56E+12,3.498222222,6.8,5,,
RB104 5/20 1a,,562,,2019-05-20T20:17:42+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,3-5km,3,39.62624,-70.826875,1.56E+12,3.498222222,6.8,5,,
RB104 5/20 1a,,563,,2019-05-20T20:22:42+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,3-5km,3,39.62624,-70.826875,1.56E+12,3.498222222,6.8,5,,
RB104 5/20 1a,,564,,2019-05-20T20:27:42+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,3-5km,3,39.66536333,-70.82787333,1.56E+12,3.601111111,359.5,5,,
RB104 5/20 1a,,565,,2019-05-20T20:32:42+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,3-5km,3,39.66536333,-70.82787333,1.56E+12,3.601111111,359.5,5,,
RB104 5/20 1a,,566,STOP,2019-05-20T20:36:08+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,3-5km,3,39.66536333,-70.82787333,1.56E+12,3.601111111,359.5,5,,
RB1904 5/20 1b,,567,START,2019-05-20T22:08:04+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,3-5km,2,39.728445,-70.82966833,1.56E+12,3.755444444,0.6,5,,
RB1904 5/20 1b,,568,,2019-05-20T22:13:02+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,3-5km,2,39.728445,-70.82966833,1.56E+12,3.755444444,0.6,5,,
RB1904 5/20 1b,,569,STOP,2019-05-20T22:17:50+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,3-5km,2,39.728445,-70.82966833,1.56E+12,3.755444444,0.6,5,,
