Transect Name,Transect Comments,Observation ID,Observation Subtype,Observation Timestamp,Species Code,Count,Species Common Name,Behavior,Direction,Distance,Degree,Age,Plumage,Sex,Linked with Observation ID,Observation Comment,Association,Flight Height,Events,Observer,Position,Beaufort ID,Visibility,Observer Conditions,GPS Latitude,GPS Longitude,GPS Timestamp,GPS Speed (mps),GPS Heading (degrees),GPS Accuracy (m),GPS Error Message,GPS Error Code
RB104 5/15 1,,198,START,2019-05-15T16:24:43+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1,,199,,2019-05-15T16:29:06+00:00,UNST,2,Unidentified small Tern,Flying,N,3,90,Adult,,Unknown,,,,2-10m,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1,,200,,2019-05-15T16:29:42+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1,,201,,2019-05-15T16:34:42+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1,,202,,2019-05-15T16:35:07+00:00,NOGA,1,Northern Gannet,Flying,W,1,15,Immature,,Unknown,,,,10-25m,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1,,203,,2019-05-15T16:36:27+00:00,UNST,4,Unidentified small Tern,Flying,W,3,5,,,Unknown,,,,0-2m,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1,,204,,2019-05-15T16:37:34+00:00,WISP,2,Wilson's Storm-petrel,Pattering,NE,1,15,Adult,,,,,,0-2m,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1,,205,,2019-05-15T16:38:35+00:00,UNST,2,Unidentified small Tern,Flying,NE,3,90,,,Unknown,,,,0-2m,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1,,206,,2019-05-15T16:39:42+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1,,207,,2019-05-15T16:41:29+00:00,UNPH,2,Unidentified Phalarope,Flying,E,2,,,,Unknown,,,,0-2m,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1,,208,,2019-05-15T16:44:42+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1,,209,,2019-05-15T16:46:26+00:00,GBBG,1,Great Black-backed Gull,Flying,N,3,90,Immature,,Unknown,,,,10-25m,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1,,210,,2019-05-15T16:49:42+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1,,211,STOP,2019-05-15T16:50:53+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,40.21066833,-70.83001,1.55794E+12,3.755444444,358.1,5,,
RB104 5/15 1a,,212,,2019-05-15T17:54:59+00:00,HERG,1,Herring gull,Flying,N,1,5,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,10-25m,,"Black, Allison",Starboard,4,1-3km,3,,,,,,,,2
RB104 5/15 1a,,213,,2019-05-15T17:57:50+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.27646333,-70.83729333,1.55794E+12,4.115555556,352.4,5,,
RB104 5/15 1a,,214,,2019-05-15T18:02:50+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.27646333,-70.83729333,1.55794E+12,4.115555556,352.4,5,,
RB104 5/15 1a,,215,,2019-05-15T18:04:45+00:00,UNLG,3,Unidentified Large Gull,Flying,N,4,90,,,,,,Associated with fishing vessel,2-10m,,"Black, Allison",Starboard,4,1-3km,3,40.27646333,-70.83729333,1.55794E+12,4.115555556,352.4,5,,
RB104 5/15 1a,,216,,2019-05-15T18:05:27+00:00,BOFI,1,boat--fishing,,,4,90,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.27646333,-70.83729333,1.55794E+12,4.115555556,352.4,5,,
RB104 5/15 1a,,217,,2019-05-15T18:06:08+00:00,FIGE,1,fishing gear,,,2,45,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.27646333,-70.83729333,1.55794E+12,4.115555556,352.4,5,,
RB104 5/15 1a,,218,,2019-05-15T18:07:51+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.27646333,-70.83729333,1.55794E+12,4.115555556,352.4,5,,
RB104 5/15 1a,,219,,2019-05-15T18:09:25+00:00,NOGA,1,Northern Gannet,Flying,W,3,40,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,0-2m,,"Black, Allison",Starboard,4,1-3km,3,40.27646333,-70.83729333,1.55794E+12,4.115555556,352.4,5,,
RB104 5/15 1a,,220,,2019-05-15T18:12:51+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.27646333,-70.83729333,1.55794E+12,4.115555556,352.4,5,,
RB104 5/15 1a,,221,,2019-05-15T18:13:32+00:00,UNST,1,Unidentified small Tern,Flying,W,3,25,,,,,,,2-10m,,"Black, Allison",Starboard,4,1-3km,3,40.27646333,-70.83729333,1.55794E+12,4.115555556,352.4,5,,
RB104 5/15 1a,,222,,2019-05-15T18:17:51+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.27646333,-70.83729333,1.55794E+12,4.115555556,352.4,5,,
RB104 5/15 1a,,223,STOP,2019-05-15T18:19:47+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.27646333,-70.83729333,1.55794E+12,4.115555556,352.4,5,,
RB104 5/15 1b,,224,START,2019-05-15T19:39:06+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.33258833,-70.83035167,1.55795E+12,0.154333333,34.5,5,,
RB104 5/15 1b,,225,,2019-05-15T19:43:48+00:00,UNST,3,Unidentified small Tern,Flying,W,3,15,,,,,,,2-10m,,"Black, Allison",Starboard,4,1-3km,3,40.34494833,-70.82873333,1.55795E+12,3.704,356.6,5,,
RB104 5/15 1b,,226,,2019-05-15T19:44:05+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.34494833,-70.82873333,1.55795E+12,3.704,356.6,5,,
RB104 5/15 1b,,227,,2019-05-15T19:48:53+00:00,FIGE,1,fishing gear,,,3,45,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.34494833,-70.82873333,1.55795E+12,3.704,356.6,5,,
RB104 5/15 1b,,228,,2019-05-15T19:49:05+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.34494833,-70.82873333,1.55795E+12,3.704,356.6,5,,
RB104 5/15 1b,,229,,2019-05-15T19:54:05+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.34494833,-70.82873333,1.55795E+12,3.704,356.6,5,,
RB104 5/15 1b,,230,,2019-05-15T19:59:05+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.37141833,-70.82850833,1.55795E+12,4.321333333,0.4,5,,
RB104 5/15 1b,,231,,2019-05-15T20:01:02+00:00,NOFU,1,Northern Fulmar,Flying,W,2,25,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,2-10m,,"Black, Allison",Starboard,4,1-3km,3,40.37141833,-70.82850833,1.55795E+12,4.321333333,0.4,5,,
RB104 5/15 1b,,232,,2019-05-15T20:01:42+00:00,GBBG,1,Great Black-backed Gull,Flying,NW,2,75,Third cycle,Non-breeding/Basic fall and winter plumage,Unknown,,,,10-25m,,"Black, Allison",Starboard,4,1-3km,3,40.37141833,-70.82850833,1.55795E+12,4.321333333,0.4,5,,
RB104 5/15 1b,,233,,2019-05-15T20:04:05+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.37141833,-70.82850833,1.55795E+12,4.321333333,0.4,5,,
RB104 5/15 1b,,234,,2019-05-15T20:08:54+00:00,UNST,2,Unidentified small Tern,Flying,SW,3,85,,,Unknown,,,,2-10m,,"Black, Allison",Starboard,4,1-3km,3,40.37141833,-70.82850833,1.55795E+12,4.321333333,0.4,5,,
RB104 5/15 1b,,235,,2019-05-15T20:09:05+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.37141833,-70.82850833,1.55795E+12,4.321333333,0.4,5,,
RB104 5/15 1b,,236,STOP,2019-05-15T20:09:11+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,3,40.37141833,-70.82850833,1.55795E+12,4.321333333,0.4,5,,
RB104 5/15 1c,,237,START,2019-05-15T21:00:19+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,1-3km,4,40.40088667,-70.83081,1.55795E+12,0.051444444,309.6,10,,
