Transect Name,Transect Comments,Observation ID,Observation Subtype,Observation Timestamp,Species Code,Count,Species Common Name,Behavior,Direction,Distance,Degree,Age,Plumage,Sex,Linked with Observation ID,Observation Comment,Association,Flight Height,Events,Observer,Position,Beaufort ID,Visibility,Observer Conditions,GPS Latitude,GPS Longitude,GPS Timestamp,GPS Speed (mps),GPS Heading (degrees),GPS Accuracy (m),GPS Error Message,GPS Error Code
RB1904 5/24 1,,834,START,2019-05-24T12:06:45+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,3-5km,3,39.76374333,-70.92302833,1.5587E+12,4.681444444,154.9,5,,
RB1904 5/24 1,,835,,2019-05-24T12:11:44+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,3-5km,3,39.76374333,-70.92302833,1.5587E+12,4.681444444,154.9,5,,
RB1904 5/24 1,,836,,2019-05-24T12:16:44+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,3-5km,3,39.76374333,-70.92302833,1.5587E+12,4.681444444,154.9,5,,
RB1904 5/24 1,,837,,2019-05-24T12:21:44+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,3-5km,3,39.76374333,-70.92302833,1.5587E+12,4.681444444,154.9,5,,
RB1904 5/24 1,,838,,2019-05-24T12:26:44+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,3-5km,3,39.76374333,-70.92302833,1.5587E+12,4.681444444,154.9,5,,
RB1904 5/24 1,,839,,2019-05-24T12:31:44+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,3-5km,3,39.69778167,-70.88017667,1.5587E+12,4.938666667,148.6,5,,
RB1904 5/24 1,,840,,2019-05-24T12:36:44+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,3-5km,3,39.69778167,-70.88017667,1.5587E+12,4.938666667,148.6,5,,
RB1904 5/24 1,,841,,2019-05-24T12:41:44+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,3-5km,3,39.69778167,-70.88017667,1.5587E+12,4.938666667,148.6,5,,
RB1904 5/24 1,,842,,2019-05-24T12:46:44+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,3-5km,3,39.69778167,-70.88017667,1.5587E+12,4.938666667,148.6,5,,
RB1904 5/24 1,,843,,2019-05-24T12:51:32+00:00,SOSH,1,Sooty Shearwater,Flying,W,1,,,,Unknown,,,,0-2m,,"Black, Allison",Starboard,7,3-5km,3,39.69778167,-70.88017667,1.5587E+12,4.938666667,148.6,5,,
RB1904 5/24 1,,844,,2019-05-24T12:51:45+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,7,3-5km,3,39.69778167,-70.88017667,1.5587E+12,4.938666667,148.6,5,,
RB1904 5/24 1,,845,,2019-05-24T12:56:45+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,7,3-5km,3,39.69778167,-70.88017667,1.5587E+12,4.938666667,148.6,5,,
RB1904 5/24 1,,846,,2019-05-24T12:58:35+00:00,NOFU,1,Northern Fulmar,Flying,NE,1,45,Adult,Light phase,Unknown,,,,0-2m,,"Black, Allison",Starboard,7,3-5km,3,39.69778167,-70.88017667,1.5587E+12,4.938666667,148.6,5,,
RB1904 5/24 1,,847,STOP,2019-05-24T13:02:13+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,7,3-5km,3,39.6228,-70.83159,1.5587E+12,3.446777778,160,5,,
RB1904 5/24 1a,,848,START,2019-05-24T14:06:40+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,7,unlimited,3,39.62193,-70.83423667,1.55871E+12,3.909777778,355.8,5,,
RB1904 5/24 1a,,849,,2019-05-24T14:11:39+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,7,unlimited,3,39.62193,-70.83423667,1.55871E+12,3.909777778,355.8,5,,
RB1904 5/24 1a,,850,,2019-05-24T14:16:39+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,7,unlimited,3,39.62193,-70.83423667,1.55871E+12,3.909777778,355.8,5,,
RB1904 5/24 1a,,851,,2019-05-24T14:26:39+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,7,unlimited,3,39.62193,-70.83423667,1.55871E+12,3.909777778,355.8,5,,
RB1904 5/24 1a,,852,,2019-05-24T14:31:39+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,7,unlimited,3,39.62193,-70.83423667,1.55871E+12,3.909777778,355.8,5,,
RB1904 5/24 1a,,853,STOP,2019-05-24T14:32:33+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,7,unlimited,3,39.62193,-70.83423667,1.55871E+12,3.909777778,355.8,5,,
RB1904 5/24 1b,,854,,2019-05-24T17:57:40+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,unlimited,3,39.77636333,-70.829955,1.55872E+12,4.732888889,5.8,5,,
RB1904 5/24 1b,,855,,2019-05-24T18:02:40+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,unlimited,3,39.79043333,-70.829275,1.55872E+12,4.578555556,1.7,5,,
RB1904 5/24 1b,,856,STOP,2019-05-24T18:07:17+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,unlimited,3,39.79043333,-70.829275,1.55872E+12,4.578555556,1.7,5,,
RB1904 5/24 1c,,857,START,2019-05-24T20:02:18+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,unlimited,3,39.82084333,-70.83002833,1.55873E+12,4.321333333,2.1,5,,
RB1904 5/24 1c,,858,,2019-05-24T20:07:11+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,unlimited,3,39.82084333,-70.83002833,1.55873E+12,4.321333333,2.1,5,,
RB1904 5/24 1c,,859,,2019-05-24T20:12:11+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,unlimited,3,39.82084333,-70.83002833,1.55873E+12,4.321333333,2.1,5,,
RB1904 5/24 1c,,860,,2019-05-24T20:17:11+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,unlimited,3,39.85600167,-70.83,1.55873E+12,4.784333333,0.9,5,,
RB1904 5/24 1c,,861,,2019-05-24T20:22:11+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,unlimited,3,39.85600167,-70.83,1.55873E+12,4.784333333,0.9,5,,
RB1904 5/24 1c,,862,STOP,2019-05-24T20:24:29+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,6,unlimited,3,39.85600167,-70.83,1.55873E+12,4.784333333,0.9,5,,
RB1903 5/24 1d,,863,START,2019-05-24T23:09:30+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,unlimited,4,39.94717167,-70.83565167,1.55874E+12,0,,5,,
RB1903 5/24 1d,,864,,2019-05-24T23:10:11+00:00,HERG,1,Herring gull,Flying,N,1,80,Second cycle,,Unknown,,,,2-10m,,"Black, Allison",Starboard,5,unlimited,4,39.94717167,-70.83565167,1.55874E+12,0,,5,,
RB1903 5/24 1d,,865,,2019-05-24T23:14:29+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,unlimited,4,39.958795,-70.83632,1.55874E+12,4.527111111,6.7,5,,
RB1903 5/24 1d,,866,,2019-05-24T23:19:29+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,unlimited,4,39.958795,-70.83632,1.55874E+12,4.527111111,6.7,5,,
