Transect Name,Transect Comments,Observation ID,Observation Subtype,Observation Timestamp,Species Code,Count,Species Common Name,Behavior,Direction,Distance,Degree,Age,Plumage,Sex,Linked with Observation ID,Observation Comment,Association,Flight Height,Events,Observer,Position,Beaufort ID,Visibility,Observer Conditions,GPS Latitude,GPS Longitude,GPS Timestamp,GPS Speed (mps),GPS Heading (degrees),GPS Accuracy (m),GPS Error Message,GPS Error Code
RB104 5/16 1,,273,START,2019-05-16T12:37:36+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.620975,-70.829895,1.55801E+12,1.028888889,333,5,,
RB104 5/16 1,,274,,2019-05-16T12:42:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.63538833,-70.82920333,1.55801E+12,4.578555556,358,5,,
RB104 5/16 1,,275,,2019-05-16T12:47:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.63538833,-70.82920333,1.55801E+12,4.578555556,358,5,,
RB104 5/16 1,,276,,2019-05-16T12:52:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.63538833,-70.82920333,1.55801E+12,4.578555556,358,5,,
RB104 5/16 1,,277,,2019-05-16T12:57:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.63538833,-70.82920333,1.55801E+12,4.578555556,358,5,,
RB104 5/16 1,,278,,2019-05-16T13:07:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.63538833,-70.82920333,1.55801E+12,4.578555556,358,5,,
RB104 5/16 1,,279,,2019-05-16T13:09:50+00:00,WISP,1,Wilson's Storm-petrel,Pattering,SW,1,290,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,0-2m,,"Black, Allison",Port,5,500m-1km,2,39.63538833,-70.82920333,1.55801E+12,4.578555556,358,5,,
RB104 5/16 1,,280,,2019-05-16T13:17:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.72395667,-70.82931167,1.55801E+12,6.121888889,0.4,5,,
RB104 5/16 1,,281,,2019-05-16T13:22:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.72395667,-70.82931167,1.55801E+12,6.121888889,0.4,5,,
RB104 5/16 1,,282,,2019-05-16T13:24:10+00:00,WISP,1,Wilson's Storm-petrel,Pattering,E,1,270,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,0-2m,,"Black, Allison",Port,5,500m-1km,2,39.72395667,-70.82931167,1.55801E+12,6.121888889,0.4,5,,
RB104 5/16 1,,283,,2019-05-16T13:27:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.76698667,-70.82960333,1.55801E+12,6.173333333,358.9,5,,
RB104 5/16 1,,284,,2019-05-16T13:32:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.76698667,-70.82960333,1.55801E+12,6.173333333,358.9,5,,
RB104 5/16 1,,285,,2019-05-16T13:37:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.76698667,-70.82960333,1.55801E+12,6.173333333,358.9,5,,
RB104 5/16 1,,286,,2019-05-16T13:42:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.76698667,-70.82960333,1.55801E+12,6.173333333,358.9,5,,
RB104 5/16 1,,287,,2019-05-16T13:44:32+00:00,WISP,1,Wilson's Storm-petrel,Pattering,W,1,,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,0-2m,,"Black, Allison",Port,5,500m-1km,2,39.76698667,-70.82960333,1.55801E+12,6.173333333,358.9,5,,
RB104 5/16 1,,288,,2019-05-16T13:52:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.76698667,-70.82960333,1.55801E+12,6.173333333,358.9,5,,
RB104 5/16 1,,289,,2019-05-16T13:57:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.76698667,-70.82960333,1.55801E+12,6.173333333,358.9,5,,
RB104 5/16 1,,290,,2019-05-16T14:02:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.76698667,-70.82960333,1.55801E+12,6.173333333,358.9,5,,
RB104 5/16 1,,291,,2019-05-16T14:07:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.76698667,-70.82960333,1.55801E+12,6.173333333,358.9,5,,
RB104 5/16 1,,292,,2019-05-16T14:12:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.76698667,-70.82960333,1.55801E+12,6.173333333,358.9,5,,
RB104 5/16 1,,293,,2019-05-16T14:17:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.76698667,-70.82960333,1.55801E+12,6.173333333,358.9,5,,
RB104 5/16 1,,294,,2019-05-16T14:27:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.915505,-70.82850167,1.55802E+12,5.298777778,5.5,5,,
RB104 5/16 1,,295,,2019-05-16T14:32:35+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,2,39.915505,-70.82850167,1.55802E+12,5.298777778,5.5,5,,
RB104 5/16 1,,296,,2019-05-16T14:36:34+00:00,WISP,3,Wilson's Storm-petrel,Pattering,W,1,,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,0-2m,,"Black, Allison",Port,5,500m-1km,2,39.915505,-70.82850167,1.55802E+12,5.298777778,5.5,5,,
