Transect Name,Transect Comments,Observation ID,Observation Subtype,Observation Timestamp,Species Code,Count,Species Common Name,Behavior,Direction,Distance,Degree,Age,Plumage,Sex,Linked with Observation ID,Observation Comment,Association,Flight Height,Events,Observer,Position,Beaufort ID,Visibility,Observer Conditions,GPS Latitude,GPS Longitude,GPS Timestamp,GPS Speed (mps),GPS Heading (degrees),GPS Accuracy (m),GPS Error Message,GPS Error Code
RB104 5/17 1,,392,START,2019-05-17T12:50:40+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,3,unlimited,3,40.08417333,-70.829065,1.5581E+12,4.63,359.6,5,,
RB104 5/17 1,,393,,2019-05-17T12:52:01+00:00,NOFU,5,Northern Fulmar,Sitting,,1,85,Adult,Light phase,,,,,,,"Black, Allison",Starboard,3,unlimited,3,40.08417333,-70.829065,1.5581E+12,4.63,359.6,5,,
RB104 5/17 1,,394,,2019-05-17T12:55:39+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,3,unlimited,3,40.08417333,-70.829065,1.5581E+12,4.63,359.6,5,,
RB104 5/17 1,,395,,2019-05-17T13:00:03+00:00,SOSH,1,Sooty Shearwater,Flying,NE,1,75,,,,,,,2-10m,,"Black, Allison",Starboard,3,unlimited,3,40.08417333,-70.829065,1.5581E+12,4.63,359.6,5,,
RB104 5/17 1,,396,,2019-05-17T13:00:39+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,3,unlimited,3,40.08417333,-70.829065,1.5581E+12,4.63,359.6,5,,
RB104 5/17 1,,397,,2019-05-17T13:05:39+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,3,unlimited,3,40.11814833,-70.82888,1.5581E+12,4.527111111,1,5,,
RB104 5/17 1,,398,,2019-05-17T13:10:39+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,3,unlimited,3,40.11814833,-70.82888,1.5581E+12,4.527111111,1,5,,
RB104 5/17 1,,399,STOP,2019-05-17T13:11:15+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,3,unlimited,3,40.11814833,-70.82888,1.5581E+12,4.527111111,1,5,,
RB104 5/17 1a,,400,START,2019-05-17T13:58:06+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,3,unlimited,3,40.13864167,-70.828735,1.5581E+12,0.051444444,142.8,5,,
RB104 5/17 1a,,401,,2019-05-17T14:03:05+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,3,unlimited,3,40.13864167,-70.828735,1.5581E+12,0.051444444,142.8,5,,
RB104 5/17 1a,,402,,2019-05-17T14:08:05+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,3,unlimited,3,40.13864167,-70.828735,1.5581E+12,0.051444444,142.8,5,,
RB104 5/17 1a,,403,,2019-05-17T14:13:05+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,3,unlimited,3,40.13864167,-70.828735,1.5581E+12,0.051444444,142.8,5,,
RB104 5/17 1a,,404,,2019-05-17T14:23:05+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,3,unlimited,3,40.19098833,-70.82814167,1.5581E+12,3.961222222,357.1,5,,
RB104 5/17 1a,,405,STOP,2019-05-17T14:23:34+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,3,unlimited,3,40.19098833,-70.82814167,1.5581E+12,3.961222222,357.1,5,,
RB104 5/17 1b,,406,START,2019-05-17T17:01:08+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,4,3-5km,3,40.20456333,-70.83053167,1.55811E+12,0.051444444,50,5,,
RB104 5/17 1b,,407,,2019-05-17T17:06:07+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,4,3-5km,3,40.223725,-70.83126167,1.55811E+12,4.167,358.8,5,,
RB104 5/17 1b,,408,,2019-05-17T17:11:07+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,4,3-5km,3,40.223725,-70.83126167,1.55811E+12,4.167,358.8,5,,
RB104 5/17 1b,,409,,2019-05-17T17:14:08+00:00,COTE,2,Common Tern,Flying,S,1,290,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,0-2m,,"Black, Allison",Port,4,3-5km,3,40.223725,-70.83126167,1.55811E+12,4.167,358.8,5,,
RB104 5/17 1b,,410,,2019-05-17T17:16:07+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,4,3-5km,3,40.223725,-70.83126167,1.55811E+12,4.167,358.8,5,,
RB104 5/17 1b,,411,,2019-05-17T17:17:19+00:00,WISP,1,Wilson's Storm-petrel,Pattering,E,1,,Adult,,Unknown,,,,0-2m,,"Black, Allison",Port,4,3-5km,3,40.223725,-70.83126167,1.55811E+12,4.167,358.8,5,,
RB104 5/17 1b,,412,,2019-05-17T17:18:37+00:00,COTE,5,Common Tern,Flying,W,3,350,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,2-10m,,"Black, Allison",Port,4,3-5km,3,40.24805,-70.83085167,1.55811E+12,3.961222222,2,5,,
RB104 5/17 1b,,413,,2019-05-17T17:21:07+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,4,3-5km,3,40.24805,-70.83085167,1.55811E+12,3.961222222,2,5,,
RB104 5/17 1b,,414,,2019-05-17T17:24:14+00:00,COTE,1,Common Tern,Flying,SW,2,300,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,0-2m,,"Black, Allison",Port,4,3-5km,3,40.24805,-70.83085167,1.55811E+12,3.961222222,2,5,,
RB104 5/17 1b,,415,,2019-05-17T17:26:07+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,4,3-5km,3,40.24805,-70.83085167,1.55811E+12,3.961222222,2,5,,
RB104 5/17 1b,,416,STOP,2019-05-17T17:26:57+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,4,3-5km,3,40.24805,-70.83085167,1.55811E+12,3.961222222,2,5,,
RB104 5/17 1c,,417,,2019-05-17T22:36:08+00:00,SEWH,6,Sei Whale,Blowing,,2,310,,,,,,,,,"Black, Allison",Port,5,1-3km,3,40.43631333,-70.85700667,1.55813E+12,4.064111111,214.2,5,,
RB104 5/17 1c,,418,,2019-05-17T22:36:52+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,1-3km,3,40.43631333,-70.85700667,1.55813E+12,4.064111111,214.2,5,,
RB104 5/17 1c,,419,,2019-05-17T22:41:52+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,1-3km,3,40.43631333,-70.85700667,1.55813E+12,4.064111111,214.2,5,,
RB104 5/17 1c,,420,,2019-05-17T22:46:52+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,1-3km,3,40.43631333,-70.85700667,1.55813E+12,4.064111111,214.2,5,,
RB104 5/17 1c,,421,,2019-05-17T22:51:52+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,1-3km,3,40.43631333,-70.85700667,1.55813E+12,4.064111111,214.2,5,,
RB104 5/17 1c,,422,,2019-05-17T22:54:54+00:00,WISP,2,Wilson's Storm-petrel,Flying,W,2,330,Adult,,Unknown,,,,0-2m,,"Black, Allison",Port,5,1-3km,3,40.43631333,-70.85700667,1.55813E+12,4.064111111,214.2,5,,
RB104 5/17 1c,,423,,2019-05-17T22:56:53+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,1-3km,3,40.43631333,-70.85700667,1.55813E+12,4.064111111,214.2,5,,
RB104 5/17 1c,,424,,2019-05-17T23:01:52+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,1-3km,3,40.43631333,-70.85700667,1.55813E+12,4.064111111,214.2,5,,
RB104 5/17 1c,,425,,2019-05-17T23:11:53+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,3,40.348395,-70.94763667,1.55813E+12,5.298777778,220.3,5,,
RB104 5/17 1c,,426,,2019-05-17T23:16:52+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,3,40.348395,-70.94763667,1.55813E+12,5.298777778,220.3,5,,
RB104 5/17 1c,,427,,2019-05-17T23:20:37+00:00,NOFU,1,Northern Fulmar,Flying,N,1,355,Adult,Light phase,Unknown,,,,2-10m,,"Black, Allison",Port,5,500m-1km,3,40.348395,-70.94763667,1.55813E+12,5.298777778,220.3,5,,
RB104 5/17 1c,,428,,2019-05-17T23:21:53+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,500m-1km,3,40.348395,-70.94763667,1.55813E+12,5.298777778,220.3,5,,
RB104 5/17 1c,,429,,2019-05-17T23:26:53+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,6,500m-1km,3,40.348395,-70.94763667,1.55813E+12,5.298777778,220.3,5,,
RB104 5/17 1c,,430,,2019-05-17T23:31:53+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,6,500m-1km,3,40.348395,-70.94763667,1.55813E+12,5.298777778,220.3,5,,
RB104 5/17 1c,,431,,2019-05-17T23:36:52+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,6,500m-1km,3,40.348395,-70.94763667,1.55813E+12,5.298777778,220.3,5,,
RB104 5/17 1c,,432,STOP,2019-05-17T23:44:58+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,6,500m-1km,3,40.27201333,-70.99796167,1.55814E+12,1.954888889,208.4,5,,
